,	Player	,	Team	,	GP	,	MIN	,	TCH/G	,	Tch/Min	,	PossTm	,	Post	,	Paint	,	PPG	,	Pts/Tch	,	FPPG	,	FP/Tch	
70,Iman Shumpert,CLE,13,17.0,16.4,0.96,0.7,0.2,0.1,0.29,0.23,13.43,0.82
71,Troy Daniels,CHA,4,4.4,5.0,1.14,0.1,0.3,0.3,0.13,0.1,7.45,1.49
72,Norman Powell,TOR,17,12.0,13.6,1.13,0.5,0.2,0.1,0.23,0.29,9.99,0.73
73,Jordan McRae,CLE,1,1.2,3.0,2.5,0.1,0.0,0.0,5.0,1.67,7.26,2.42
74,Cameron Payne,OKC,10,6.4,13.0,2.03,1.3,0.3,0.1,0.18,0.14,9.72,0.75
75,Justin Anderson,DAL,5,19.0,34.6,1.82,1.1,0.8,0.6,1.88,0.27,9.43,0.27
76,Steve Blake,DET,4,10.8,25.8,2.39,2.4,0.0,0.0,0.25,0.04,10.59,0.41
77,Brandon Rush,GSW,9,9.1,13.2,1.45,0.3,0.2,0.1,0.27,0.18,8.77,0.66
78,Brian Roberts,POR,10,3.6,4.8,1.33,0.4,0.0,0.0,0.08,0.17,6.18,1.29
79,Ian Clark,GSW,12,11.2,21.7,1.94,1.2,0.2,0.2,0.37,0.2,6.92,0.32
80,Joseph Young,IND,4,2.6,7.5,2.88,0.6,0.0,0.0,0.58,0.31,7.23,0.96
81,Andre Miller,SA,5,7.0,16.8,2.4,1.3,0.6,0.6,0.36,0.11,8.45,0.5
82,Spencer Dinwiddie,DET,1,1.7,5.0,2.94,0.6,0.0,0.0,2.0,0.4,7.46,1.49
83,Reggie Bullock,DET,2,11.0,11.5,1.05,0.2,1.0,0.5,3.0,0.52,7.2,0.63
84,Briante Weber,MIA,2,3.0,7.5,2.5,0.6,0.0,0.0,0.0,0.0,12.33,1.64
85,Delon Wright,TOR,8,4.8,8.1,1.69,0.7,0.1,0.1,0.23,0.22,6.49,0.8
86,Kirk Hinrich,ATL,6,4.6,9.3,2.02,0.6,0.0,0.0,0.13,0.09,6.98,0.75
87,C.J. Wilcox,LAC,2,3.7,4.0,1.08,0.2,0.0,0.0,0.0,0.0,4.96,1.24
88,R.J. Hunter,BOS,5,8.2,8.4,1.02,0.3,0.0,0.0,0.2,0.12,4.97,0.59
89,Lamar Patterson,ATL,4,4.9,9.3,1.9,0.4,0.0,0.0,0.38,0.16,5.54,0.6
90,Pablo Prigioni,LAC,5,5.2,11.6,2.23,0.8,0.2,0.0,0.0,0.0,8.68,0.75
91,Terry Rozier,BOS,5,19.7,33.2,1.69,1.8,0.4,0.2,0.96,0.14,5.99,0.18
92,Pat Connaughton,POR,6,1.3,1.5,1.15,0.1,0.0,0.0,0.22,0.87,2.81,1.87
93,James Young,BOS,3,3.4,4.7,1.38,0.1,0.0,0.0,0.23,0.15,2.99,0.64
94,Aaron Harrison,CHA,2,3.7,2.5,0.68,0.1,0.0,0.0,0.0,0.0,2.1,0.84
